https://arxiv.org/pdf/2507.11930, fig 4, top (heavy mediator)
m [mev], sigma_e [cm^2]
51.476975977681036, 4.8056899099289e-41
60.709522548083456, 3.794278492979572e-41
71.59795341541134, 2.7695662287707494e-41
85.26263303402257, 2.2445435622113818e-41
105.55388791175979, 1.8187000228749833e-41
135.84607392502923, 1.679302898685716e-41
168.1754450934373, 1.5920030280386924e-41
204.19701951868018, 1.5494016091186679e-41
243.16862020967818, 1.67448124031715e-41
298.13206223449566, 1.85736718717094e-41
365.518899829887, 2.1709135239804009e-41
422.7902346117185, 2.28590200761149e-41
513.3478656253932, 2.6719183145293083e-41
635.5171209214463, 3.042170027370261e-41
742.2611077518193, 3.2880725532886813e-41
875.3878137123328, 4.0503883944229036e-41
1083.717261359278, 4.859417899754539e-41
1328.6700468570668, 5.533059850629335e-41
1660.9133638872752, 6.813900239614569e-41
2179.4580678393654, 9.074297643030223e-41
2724.4469305747502, 1.117489428153281e-40
3405.7141025322326, 1.376175513697758e-40
4135.185542000135, 1.6512127381978224e-40
5219.623483140086, 2.1425940445774946e-40
6588.451480358415, 2.570312021700082e-40
8156.406204255004, 3.335526041415549e-40
9619.28157130363, 3.798644964117693e-40
