https://arxiv.org/pdf/2507.15956, Fig2, left
Mass [MeV], sigma_e [cm^2]
19.952078015643494, 1.588431617339555e-38
20.084354962620573, 1.270914172597668e-38
20.481326745732236, 1.0168664590137698e-38
20.617112470399174, 8.136012783253127e-39
21.43848802862358, 5.98741980342126e-39
22.147156677679394, 4.925994773682382e-39
22.439324055773426, 3.832967253781625e-39
23.33219695659272, 3.0667813160838695e-39
23.79373651992211, 2.386294119080346e-39
24.90178905702489, 1.8568000244728615e-39
25.56032779583207, 1.3664483492953468e-39
26.7506488721219, 1.0632475301872349e-39
28.549757282336078, 6.61947040092572e-40
27.63534956199953, 8.507110664025272e-40
30.27013786697625, 4.87137240593383e-40
31.679790488533634, 3.7904650270186625e-40
33.588256635135345, 2.868316813342068e-40
36.54829699604093, 2.0528095917732145e-40
39.2544700091018, 1.642465923839203e-40
42.990291466205555, 1.2428851318000047e-40
47.388580449991736, 9.146587216326635e-41
52.23439388557128, 7.318242219076301e-41
58.70727225764991, 5.69439962275735e-41
64.7094853466467, 4.684919999251314e-41
73.20010322987078, 3.7484340902928873e-41
84.4308393812898, 2.999145797903809e-41
96.12723345620068, 2.5372213284124595e-41
110.15224906736911, 2.269510536694724e-41
125.40795110575603, 2.0300468147928868e-41
148.43204049021344, 1.9742380400723673e-41
165.72959254425805, 1.8671810912919475e-41
182.65366493757702, 1.8671810912919475e-41
206.59395336375363, 1.8671810912919475e-41
244.5117545486778, 1.9742380400723673e-41
283.8155668165984, 2.087433220615931e-41
327.3034957476545, 2.269510536694724e-41
375.02193482627536, 2.3996355012290227e-41
432.47826420894955, 2.6826957952797824e-41
489.1475333781839, 2.8365112059478003e-41
567.7572712046556, 3.1711052289244715e-41
637.993492659866, 3.4477063308824193e-41
698.579315457547, 3.645384489576554e-41
769.8930822323073, 3.8543967500399374e-41
848.4602085364063, 4.3090602507656956e-41
893.6067443208698, 4.4308709787077593e-41
