#: table_doi: 10.17182/hepdata.155182.v1/t1
#: name: SI cross section
#: description: 90% CL WIMP SI cross sections, including sensitivities
#: data_file: SI_WS2022+WS2024.yaml
#: keyword reactions: chi N-> chi N
#: keyword observables: WIMP-nucleon cross section
#: keyword phrases: WIMP | spin-independent
mass,limit
9.0,1.0199214818092348e-46
11.0,2.7574936853333923e-47
13.0,1.2291221601112764e-47
16.0,6.00362024779195e-48
17.0,5.3348205653471906e-48
19.0,3.896848454379515e-48
21.0,3.323727092028127e-48
23.0,2.968490798015544e-48
26.0,2.6155789945448642e-48
29.0,2.368424326343989e-48
32.0,2.287306921114239e-48
36.0,2.104230188726472e-48
40.0,2.115332912193402e-48
43.0,2.2352757396556997e-48
46.0,2.1976972131899662e-48
65.0,2.505718637217682e-48
91.0,3.195915359877079e-48
129.0,3.8815261565995756e-48
182.0,5.594168215658859e-48
256.0,7.656920668880268e-48
361.0,1.0628391162129717e-47
508.0,1.4393418129001175e-47
1008.0,2.9420174519256495e-47
2000.0,5.819333597956092e-47
5000.0,1.422698125240569e-46
10000.0,2.884421626978188e-46

mass,-2sigma
9.0,5.861155699412769e-47
11.0,1.5585671236299087e-47
13.0,6.491391628442227e-48
16.0,2.980867035570513e-48
17.0,2.5625579285116097e-48
19.0,1.979479816155218e-48
21.0,1.7652521845204415e-48
23.0,1.3929935409609653e-48
26.0,1.2199735262382895e-48
29.0,1.1582478310563002e-48
32.0,1.0195830703729827e-48
36.0,1.0644182992863834e-48
40.0,1.0188200597192864e-48
43.0,1.0480785370885737e-48
46.0,1.0267420717194838e-48
65.0,1.2047495539132106e-48
91.0,1.4753819242000452e-48
129.0,2.016043454288453e-48
182.0,2.6814982716972534e-48
256.0,3.5241453224737604e-48
361.0,5.128053006907505e-48
508.0,7.196421962057243e-48
1008.0,1.357775948590859e-47
2000.0,2.767862618301481e-47
5000.0,6.700317207717934e-47
10000.0,1.3263080712929967e-46

mass,-1sigma
9.0,1.0317345784031923e-46
11.0,2.8334120370986663e-47
13.0,1.2526909056445252e-47
16.0,6.203576200015794e-48
17.0,5.455005686850157e-48
19.0,3.99015155657474e-48
21.0,3.4341939971819386e-48
23.0,3.016852532008513e-48
26.0,2.644006331604031e-48
29.0,2.4309744075421937e-48
32.0,2.318748322518261e-48
36.0,2.179961643659596e-48
40.0,2.1671037823080044e-48
43.0,2.2745922345142468e-48
46.0,2.25523589647926e-48
65.0,2.5997899072514327e-48
91.0,3.3139426952194157e-48
129.0,4.119689641612346e-48
182.0,5.760661918554834e-48
256.0,7.908338024590613e-48
361.0,1.1136815782825039e-47
508.0,1.5153837794302546e-47
1008.0,3.047364739404591e-47
2000.0,6.04269900003083e-47
5000.0,1.4735279254938993e-46
10000.0,2.9620744964814253e-46

mass,median
9.0,2.3042158383186166e-46
11.0,6.066538485962768e-47
13.0,2.7725428371656503e-47
16.0,1.4275113665755513e-47
17.0,1.1656463150052365e-47
19.0,9.053237239119157e-48
21.0,7.638955899147438e-48
23.0,6.665764879366877e-48
26.0,5.952209448109372e-48
29.0,5.492512250492365e-48
32.0,5.236712281935124e-48
36.0,5.1496760254934724e-48
40.0,4.968476537328028e-48
43.0,5.076911861650746e-48
46.0,5.173073019921539e-48
65.0,5.907386537658676e-48
91.0,7.42451243722444e-48
129.0,9.57444337415122e-48
182.0,1.3029131891263946e-47
256.0,1.804566008692032e-47
361.0,2.5103227910873416e-47
508.0,3.448192355447204e-47
1008.0,6.825068314628356e-47
2000.0,1.3434026368097278e-46
5000.0,3.3243385268859547e-46
10000.0,6.75867838249276e-46

mass,1sigma
9.0,4.058722481847214e-46
11.0,1.083453906828843e-46
13.0,4.920479494209805e-47
16.0,2.4606698169274855e-47
17.0,2.0823072666987646e-47
19.0,1.6342744219014851e-47
21.0,1.356645182048743e-47
23.0,1.1854387196549193e-47
26.0,1.0600123509428937e-47
29.0,9.904953962195112e-48
32.0,9.400509688884825e-48
36.0,9.116121954059847e-48
40.0,9.1283853345779e-48
43.0,9.00637721987553e-48
46.0,9.28613617013997e-48
65.0,1.0550391388030461e-47
91.0,1.3153099494480618e-47
129.0,1.74429130865791e-47
182.0,2.3617551076607837e-47
256.0,3.2426450465930506e-47
361.0,4.584416648883875e-47
508.0,6.2121201190887995e-47
1008.0,1.254024501106259e-46
2000.0,2.436523594912996e-46
5000.0,6.160668963374216e-46
10000.0,1.1941448882286387e-45

mass,2sigma
9.0,6.182751229564217e-46
11.0,1.6276671135780601e-46
13.0,7.595689817905875e-47
16.0,3.699961847198666e-47
17.0,3.157478450573062e-47
19.0,2.473665562641767e-47
21.0,2.080240551004464e-47
23.0,1.8538636277893445e-47
26.0,1.624826938873834e-47
29.0,1.5184629648100188e-47
32.0,1.42751544023254e-47
36.0,1.381576581013849e-47
40.0,1.4049335692197897e-47
43.0,1.4012283163988825e-47
46.0,1.430364109234046e-47
65.0,1.6366056158996324e-47
91.0,2.0184765587134587e-47
129.0,2.648215782829248e-47
182.0,3.592214400615415e-47
256.0,4.899386014388223e-47
361.0,6.87850709931349e-47
508.0,9.636566907129842e-47
1008.0,1.904255442343881e-46
2000.0,3.72270335525787e-46
5000.0,9.172569778473442e-46
10000.0,1.8583340281105275e-45

mass,median_3sigma_disco
9.0,4.423198679430303e-46
11.0,1.219423606179424e-46
13.0,5.610868803526495e-47
16.0,2.85025012069205e-47
17.0,2.401840945041002e-47
19.0,1.9095816657866056e-47
21.0,1.5976717841405155e-47
23.0,1.407161340128235e-47
26.0,1.2446919177219063e-47
29.0,1.161175516200472e-47
32.0,1.1053631349379884e-47
36.0,1.0718470992639766e-47
40.0,1.0551756846431458e-47
43.0,1.0769040247500189e-47
46.0,1.0763124993107044e-47
65.0,1.245722958811614e-47
91.0,1.5592191730950541e-47
129.0,2.0478939744007635e-47
182.0,2.765498404828074e-47
256.0,3.8716497633665156e-47
361.0,5.298542874637337e-47
508.0,7.39750658817139e-47
1008.0,1.4449570358677485e-46
2000.0,2.850440405529855e-46
5000.0,7.075171145879926e-46
10000.0,1.4356818388927824e-45

