M (GeV), Sigma v (cm^3*s^-1)
10.0727859766783,5.1561882769016E-27
12.7038982849467,5.8495611812632E-27
15.6774559993984,6.63617466542612E-27
25.1188643150958,8.54096317377038E-27
36.097765136995,1.09924852213061E-26
49.6664354773554,1.35650091588084E-26
70.3467591577435,1.74585886475913E-26
102.570771479623,2.29472471729519E-26
151.740797486349,3.14569704934382E-26
199.888312490187,3.88187097149589E-26
271.063390436484,4.99608866318861E-26
415.812592876978,7.76982001960389E-26
647.17781594068,1.20834731340633E-25
877.621161631307,1.69164995793983E-25
1190.11944533909,2.36825914904447E-25
1625.6371746354,3.45790283256181E-25
2141.45356385395,4.94383453501435E-25
2800.55492458976,6.92121990956601E-25
3609.7765136995,9.48787489988971E-25
4686.68906726582,1.35650091588084E-24
