M (GeV), Sigma v (cm^3*s^-1)
89.7077963933508,1.67827408499194E-25
107.50942544107,2.16048921345483E-25
135.542493764083,3.02555037009675E-25
177.185293763871,4.41914455878972E-25
226.64487965197,6.32020640126648E-25
285.742501746761,9.03908175512357E-25
370.836428647478,1.34833839976036E-24
477.799051215397,2.01128443078615E-24
661.842599336346,3.40402457984554E-24
910.163671243069,5.64119503726519E-24
1233.65853733758,9.34866382483917E-24
1648.09078866292,1.58222680797199E-23
2266.4487965197,2.67786040740245E-23
3116.81260679396,4.53217978952392E-23
4133.82608376015,7.51078893144068E-23
