kBT,kBT_eV,T_K,time_s,g_star_n,g_star_e,g_star_p,g_star_s,transition_temperature_model
10 TeV,1e+13,1.16E+17,2.32E-15,95.5,106.75,106.75,106.75,All
5 TeV,5e+12,5.80E+16,9.29E-15,95.49,106.75,106.75,106.75,All
2 TeV,2e+12,2.32E+16,5.81E-14,95.47,106.74,106.73,106.74,All
1 TeV,1e+12,1.16E+16,2.32E-13,95.39,106.72,106.65,106.7,All
500 GeV,5e+11,5.80E+15,9.30E-13,95.11,106.61,106.38,106.56,All
200 GeV,2e+11,2.32E+15,5.83E-12,93.55,105.9,104.75,105.61,All
100 GeV,1e+11,1.16E+15,2.36E-11,89.89,103.53,100.8,102.85,All
50 GeV,5e+10,5.80E+14,9.73E-11,83.53,97.4,93.94,96.53,All
20 GeV,2e+10,2.32E+14,6.40E-10,77.39,88.45,87.22,88.14,All
10 GeV,1e+10,1.16E+14,2.58E-09,76.2,86.22,85.85,86.13,All
5 GeV,5e+09,5.80E+13,1.04E-08,75.27,85.6,84.68,85.37,All
2 GeV,2e+09,2.32E+13,6.61E-08,71.14,82.5,79.69,81.8,All
1 GeV,1e+09,1.16E+13,2.75E-07,65.37,76.34,72.97,75.5,All
500 MeV,5e+08,5.80E+12,1.15E-06,59.69,69.26,66.43,68.55,All
214+ MeV,2.14e+08,2.48E+12,6.63E-06,55.37,62.49,61.52,62.25,All
214- MeV,2.14e+08,2.48E+12,6.63E-06,30.27,62.49,33.88,54.8,214 MeV
214- MeV,2.14e+08,2.48E+12,6.63E-06,55.37,62.49,61.52,62.25,170 + 150 MeV
200 MeV,2e+08,2.32E+12,8.42E-06,26.45,50.75,29.62,45.47,214 MeV
200 MeV,2e+08,2.32E+12,7.61E-06,55.21,62.21,61.34,61.99,170 + 150 MeV
190 MeV,1.9e+08,2.20E+12,1.00E-05,24.14,44.01,27.04,39.77,214 MeV
190 MeV,1.9e+08,2.20E+12,8.44E-06,55.1,62.03,61.21,61.83,170 + 150 MeV
180 MeV,1.8e+08,2.09E+12,1.20E-05,22.16,38.27,24.84,34.91,214 MeV
180 MeV,1.8e+08,2.09E+12,9.42E-06,54.99,61.87,61.07,61.67,170 + 150 MeV
170+ MeV,1.7e+08,1.97E+12,1.44E-05,20.49,33.47,22.98,30.84,214 MeV
170+ MeV,1.7e+08,1.97E+12,1.06E-05,54.88,61.72,60.94,61.52,170 + 150 MeV
170- MeV,1.7e+08,1.97E+12,1.44E-05,20.49,33.47,22.98,30.84,214 + 170 MeV
170- MeV,1.7e+08,1.97E+12,1.06E-05,54.88,61.72,60.94,61.52,150 MeV
160 MeV,1.6e+08,1.86E+12,1.73E-05,19.09,29.51,21.42,27.49,214 + 170 MeV
160 MeV,1.6e+08,1.86E+12,1.20E-05,54.77,61.58,60.8,61.38,150 MeV
150+ MeV,1.5e+08,1.74E+12,2.08E-05,17.93,26.31,20.13,24.77,214 + 170 MeV
150+ MeV,1.5e+08,1.74E+12,1.36E-05,54.65,61.45,60.65,61.25,150 MeV
150- MeV,1.5e+08,1.74E+12,2.08E-05,17.93,26.32,20.13,24.77,All
140 MeV,1.4e+08,1.62E+12,2.51E-05,16.96,23.77,19.05,22.59,All
130 MeV,1.3e+08,1.51E+12,3.04E-05,16.16,21.76,18.16,20.86,All
100 MeV,1e+08,1.16E+12,5.66E-05,14.39,18.0,16.21,17.55,All
50 MeV,5e+07,5.80E+11,2.51E-04,11.87,14.63,13.4,14.32,All
20 MeV,2e+07,2.32E+11,1.78E-03,9.71,11.33,10.99,11.25,All
10 MeV,1e+07,1.16E+11,7.32E-03,9.5,10.76,10.75,10.76,All
5 MeV,5e+06,5.80E+10,2.93E-02,9.49,10.74,10.73,10.74,All
2 MeV,2e+06,2.32E+10,1.80E-01,9.43,10.71,10.65,10.7,All
1 MeV,1e+06,1.16E+10,7.40E-01,9.22,10.6,10.36,10.56,All
500 keV,500000,5.80E+09,3.11E+00,8.53,10.16,9.43,10.03,All
200 keV,200000,2.32E+09,2.39E+01,5.97,7.66,6.2,7.55,All
100 keV,100000,1.16E+09,1.22E+02,4.03,4.46,3.84,4.78,All
50 keV,50000,5.80E+08,5.24E+02,3.64,3.39,3.37,3.93,All
20 keV,20000,2.32E+08,3.27E+03,3.64,3.36,3.36,3.91,All
10 keV,10000,1.16E+08,1.31E+04,3.64,3.36,3.36,3.91,All
