MAp,eps,omegah2,xf,method,ncalls
3.5000000000e-02,1.5620447235e-04,1.2100000000e-01,1.8900000000e+01,refine,1
3.5524919727e-02,1.5310813102e-04,1.2100000000e-01,1.8800000000e+01,refine,1
3.6057712045e-02,1.5007316648e-04,1.2100000000e-01,1.8800000000e+01,refine,2
3.6598495027e-02,1.4709836210e-04,1.2100000000e-01,1.8700000000e+01,refine,1
3.7147388513e-02,1.4522988769e-04,1.2100000000e-01,1.8700000000e+01,refine,2
3.7704514142e-02,1.4338514704e-04,1.2100000000e-01,1.8600000000e+01,refine,1
3.8269995378e-02,1.4259217849e-04,1.2100000000e-01,1.8600000000e+01,refine,1
3.8843957536e-02,1.4180359532e-04,1.2000000000e-01,1.8600000000e+01,refine,1
3.9426527809e-02,1.4101937329e-04,1.2100000000e-01,1.8500000000e+01,refine,1
4.0017835301e-02,1.4023948827e-04,1.2100000000e-01,1.8500000000e+01,refine,2
4.0618011049e-02,1.3946391627e-04,1.2100000000e-01,1.8500000000e+01,refine,1
4.1227188056e-02,1.3970011643e-04,1.2100000000e-01,1.8500000000e+01,refine,1
4.1845501321e-02,1.3993671662e-04,1.2000000000e-01,1.8500000000e+01,refine,1
4.2473087868e-02,1.4017371753e-04,1.2000000000e-01,1.8500000000e+01,refine,1
4.3110086773e-02,1.4041111982e-04,1.2000000000e-01,1.8400000000e+01,refine,1
4.3756639200e-02,1.4064892419e-04,1.2000000000e-01,1.8500000000e+01,refine,1
4.4412888432e-02,1.4088713131e-04,1.2000000000e-01,1.8400000000e+01,refine,2
4.5078979896e-02,1.4112574187e-04,1.2100000000e-01,1.8400000000e+01,refine,2
4.5755061205e-02,1.4239165019e-04,1.2000000000e-01,1.8400000000e+01,refine,1
4.6441282183e-02,1.4272466500e-04,1.2000000000e-01,1.8400000000e+01,refine,1
4.7137794901e-02,1.4305845864e-04,1.2100000000e-01,1.8400000000e+01,refine,2
4.7844753713e-02,1.4339303293e-04,1.2100000000e-01,1.8400000000e+01,refine,1
4.8562315286e-02,1.4477245311e-04,1.2100000000e-01,1.8400000000e+01,refine,1
