MAp,eps,omegah2,xf,method,ncalls
1.0000000000e-01,2.5093114940e-04,1.2000000000e-01,1.8800000000e+01,seed,7
1.0476157528e-01,2.6234141530e-04,1.2000000000e-01,1.8800000000e+01,refine,2
1.0974987655e-01,2.7427052538e-04,1.1900000000e-01,1.8800000000e+01,refine,1
1.1497569954e-01,2.8674207237e-04,1.1900000000e-01,1.8900000000e+01,refine,1
1.2045035403e-01,2.9978072180e-04,1.1900000000e-01,1.8900000000e+01,refine,1
1.2618568831e-01,3.1341226078e-04,1.1900000000e-01,1.8900000000e+01,refine,1
1.3219411485e-01,3.2766364901e-04,1.2000000000e-01,1.9000000000e+01,refine,1
1.3848863714e-01,3.4256307209e-04,1.2000000000e-01,1.9000000000e+01,refine,1
1.4508287785e-01,3.5813999727e-04,1.2000000000e-01,1.9000000000e+01,refine,1
1.5199110830e-01,3.7442523170e-04,1.2000000000e-01,1.9100000000e+01,refine,1
1.5922827933e-01,3.9145098343e-04,1.2100000000e-01,1.9100000000e+01,refine,1
1.6681005372e-01,4.0925092503e-04,1.2100000000e-01,1.9200000000e+01,refine,1
1.7475284000e-01,4.3180737302e-04,1.2000000000e-01,1.9200000000e+01,refine,2
1.8307382803e-01,4.5137271692e-04,1.2000000000e-01,1.9300000000e+01,refine,2
1.9179102617e-01,4.7182457343e-04,1.2100000000e-01,1.9300000000e+01,refine,1
2.0092330026e-01,4.9775302689e-04,1.2000000000e-01,1.9400000000e+01,refine,2
2.1049041445e-01,5.2022609239e-04,1.2000000000e-01,1.9400000000e+01,refine,2
2.2051307399e-01,5.4371379497e-04,1.2100000000e-01,1.9500000000e+01,refine,1
2.3101297001e-01,5.7350429626e-04,1.2000000000e-01,1.9500000000e+01,refine,2
2.4201282648e-01,6.0492704225e-04,1.1900000000e-01,1.9600000000e+01,refine,1
2.5353644940e-01,6.2915952548e-04,1.2000000000e-01,1.9600000000e+01,refine,2
2.6560877829e-01,6.6039937815e-04,1.2000000000e-01,1.9600000000e+01,refine,2
2.7825594022e-01,6.9319039290e-04,1.2000000000e-01,1.9700000000e+01,refine,1
2.9150530628e-01,7.2760959004e-04,1.2000000000e-01,1.9800000000e+01,refine,1
3.0538555088e-01,7.6373781424e-04,1.2000000000e-01,1.9800000000e+01,refine,1
3.1992671378e-01,8.0165992434e-04,1.2000000000e-01,1.9900000000e+01,refine,1
3.3516026509e-01,8.4146499271e-04,1.2000000000e-01,1.9900000000e+01,refine,1
3.5111917342e-01,8.8324651446e-04,1.2000000000e-01,2.0000000000e+01,refine,1
3.6783797718e-01,9.2710262704e-04,1.1900000000e-01,2.0000000000e+01,refine,1
3.8535285937e-01,9.7313634075e-04,1.1900000000e-01,2.0100000000e+01,refine,1
4.0370172586e-01,1.0214557807e-03,1.1900000000e-01,2.0100000000e+01,refine,1
4.2292428744e-01,1.0721744408e-03,1.1900000000e-01,2.0200000000e+01,refine,1
4.4306214576e-01,1.1254114502e-03,1.1900000000e-01,2.0200000000e+01,refine,1
4.6415888336e-01,1.1812918532e-03,1.1900000000e-01,2.0200000000e+01,refine,1
4.8626015801e-01,1.2284230465e-03,1.2100000000e-01,2.0300000000e+01,refine,2
5.0941380148e-01,1.2892193197e-03,1.2000000000e-01,2.0300000000e+01,refine,2
5.3366992312e-01,1.3530244804e-03,1.2000000000e-01,2.0400000000e+01,refine,1
5.5908101825e-01,1.4199874426e-03,1.2000000000e-01,2.0400000000e+01,refine,1
5.8570208181e-01,1.4902644898e-03,1.2000000000e-01,2.0500000000e+01,refine,1
6.1359072734e-01,1.5640196406e-03,1.1900000000e-01,2.0500000000e+01,refine,1
6.4280731173e-01,1.6414250309e-03,1.1900000000e-01,2.0600000000e+01,refine,1
6.7341506578e-01,1.7066511929e-03,1.2000000000e-01,2.0600000000e+01,refine,2
7.0548023107e-01,1.7908391826e-03,1.2000000000e-01,2.0700000000e+01,refine,2
7.3907220335e-01,1.8791801109e-03,1.1900000000e-01,2.0700000000e+01,refine,1
7.7426368268e-01,1.9718788396e-03,1.1900000000e-01,2.0800000000e+01,refine,1
8.1113083079e-01,2.0499200028e-03,1.2000000000e-01,2.0800000000e+01,refine,2
8.4975343591e-01,2.1310498057e-03,1.2100000000e-01,2.0800000000e+01,refine,1
8.9021508545e-01,2.2459908859e-03,1.2000000000e-01,2.0800000000e+01,refine,2
9.3260334688e-01,2.3451317507e-03,1.2000000000e-01,2.0900000000e+01,refine,2
9.7700995730e-01,2.4486488180e-03,1.2000000000e-01,2.0900000000e+01,refine,1
1.0235310219e+00,2.5567352590e-03,1.2100000000e-01,2.0900000000e+01,refine,1
1.0722672220e+00,2.6695927716e-03,1.2100000000e-01,2.1000000000e+01,refine,1
1.1233240330e+00,2.7874319569e-03,1.2100000000e-01,2.1000000000e+01,refine,1
1.1768119524e+00,2.9373225159e-03,1.2000000000e-01,2.1100000000e+01,refine,2
1.2328467394e+00,3.0665063005e-03,1.2000000000e-01,2.1100000000e+01,refine,2
1.2915496650e+00,3.2013716029e-03,1.2000000000e-01,2.1100000000e+01,refine,1
1.3530477746e+00,3.3421682970e-03,1.2100000000e-01,2.1200000000e+01,refine,1
1.4174741629e+00,3.4891572459e-03,1.2100000000e-01,2.1200000000e+01,refine,1
1.4849682623e+00,3.6762147378e-03,1.2000000000e-01,2.1200000000e+01,refine,2
1.5556761439e+00,3.8373027836e-03,1.2000000000e-01,2.1200000000e+01,refine,2
1.6297508346e+00,4.0054495462e-03,1.2100000000e-01,2.1300000000e+01,refine,1
1.7073526475e+00,4.1809643314e-03,1.2100000000e-01,2.1300000000e+01,refine,1
1.7886495291e+00,4.4044305060e-03,1.2000000000e-01,2.1300000000e+01,refine,2
1.8738174229e+00,4.5967187136e-03,1.2000000000e-01,2.1400000000e+01,refine,2
1.9630406500e+00,4.7974018214e-03,1.2100000000e-01,2.1400000000e+01,refine,1
2.0565123083e+00,5.0068463332e-03,1.2100000000e-01,2.1500000000e+01,refine,1
2.1544346900e+00,5.2736406335e-03,1.2000000000e-01,2.1500000000e+01,refine,2
2.2570197196e+00,5.5030273179e-03,1.2000000000e-01,2.1500000000e+01,refine,2
2.3644894126e+00,5.7423915974e-03,1.2100000000e-01,2.1600000000e+01,refine,1
2.4770763560e+00,6.0474466376e-03,1.2000000000e-01,2.1600000000e+01,refine,2
2.5950242114e+00,6.3095175338e-03,1.2000000000e-01,2.1700000000e+01,refine,2
2.7185882427e+00,6.5829454802e-03,1.2100000000e-01,2.1700000000e+01,refine,1
2.8480358684e+00,6.8682226435e-03,1.2100000000e-01,2.1700000000e+01,refine,1
2.9836472403e+00,7.2319693070e-03,1.2000000000e-01,2.1800000000e+01,refine,2
3.1257158497e+00,7.5442079514e-03,1.2000000000e-01,2.1800000000e+01,refine,2
3.2745491629e+00,7.8699274288e-03,1.2100000000e-01,2.1900000000e+01,refine,1
3.4304692863e+00,8.2097097712e-03,1.2100000000e-01,2.1900000000e+01,refine,1
3.5938136638e+00,8.5641621396e-03,1.2100000000e-01,2.2000000000e+01,refine,1
3.7649358068e+00,8.9339179092e-03,1.2100000000e-01,2.2000000000e+01,refine,1
3.9442060594e+00,9.3196378007e-03,1.2100000000e-01,2.2100000000e+01,refine,1
