MAp,eps,omegah2,xf,method,ncalls
1.0000000000e-01,2.5093114940e-04,1.2000000000e-01,1.8800000000e+01,seed,7
1.0476157528e-01,2.6234141530e-04,1.2000000000e-01,1.8800000000e+01,refine,2
1.0974987655e-01,2.7427052538e-04,1.1900000000e-01,1.8800000000e+01,refine,1
1.1497569954e-01,2.8674207237e-04,1.1900000000e-01,1.8900000000e+01,refine,1
1.2045035403e-01,2.9978072180e-04,1.1900000000e-01,1.8900000000e+01,refine,1
1.2618568831e-01,3.1341226078e-04,1.1900000000e-01,1.8900000000e+01,refine,1
1.3219411485e-01,3.2766364901e-04,1.2000000000e-01,1.9000000000e+01,refine,1
1.3848863714e-01,3.4256307209e-04,1.2000000000e-01,1.9000000000e+01,refine,1
1.4508287785e-01,3.5813999727e-04,1.2000000000e-01,1.9100000000e+01,refine,1
1.5199110830e-01,3.7442523170e-04,1.2000000000e-01,1.9100000000e+01,refine,1
1.5922827933e-01,3.9145098343e-04,1.2000000000e-01,1.9200000000e+01,refine,1
1.6681005372e-01,3.9968800143e-04,1.2000000000e-01,1.9200000000e+01,refine,2
1.7475284000e-01,3.7691048478e-04,1.2000000000e-01,1.9300000000e+01,refine,2
1.8307382803e-01,3.6519696461e-04,1.2000000000e-01,1.9300000000e+01,refine,2
1.9179102617e-01,3.6993752011e-04,1.2000000000e-01,1.9400000000e+01,refine,2
2.0092330026e-01,3.7819667405e-04,1.2000000000e-01,1.9400000000e+01,refine,2
2.1049041445e-01,3.9020706838e-04,1.2000000000e-01,1.9400000000e+01,refine,2
2.2051307399e-01,4.0259887688e-04,1.2100000000e-01,1.9500000000e+01,refine,1
2.3101297001e-01,4.2112176606e-04,1.2000000000e-01,1.9500000000e+01,refine,2
2.4201282648e-01,4.4049686184e-04,1.1900000000e-01,1.9600000000e+01,refine,1
2.5353644940e-01,4.5648111596e-04,1.2000000000e-01,1.9600000000e+01,refine,2
2.6560877829e-01,4.7740934506e-04,1.2000000000e-01,1.9600000000e+01,refine,2
2.7825594022e-01,4.9929706789e-04,1.1900000000e-01,1.9700000000e+01,refine,1
2.9150530628e-01,5.2218827424e-04,1.2000000000e-01,1.9800000000e+01,refine,1
3.0538555088e-01,5.4612897070e-04,1.2000000000e-01,1.9800000000e+01,refine,1
3.1992671378e-01,5.7116727308e-04,1.2000000000e-01,1.9900000000e+01,refine,1
3.3516026509e-01,5.9735350318e-04,1.2000000000e-01,1.9900000000e+01,refine,1
3.5111917342e-01,6.2474028990e-04,1.2100000000e-01,1.9900000000e+01,refine,1
3.6783797718e-01,6.5338267500e-04,1.2100000000e-01,2.0000000000e+01,refine,1
3.8535285937e-01,6.8964218155e-04,1.2000000000e-01,2.0000000000e+01,refine,2
4.0370172586e-01,7.2114880261e-04,1.2000000000e-01,2.0100000000e+01,refine,2
4.2292428744e-01,7.5409481817e-04,1.2100000000e-01,2.0100000000e+01,refine,1
4.4306214576e-01,7.8854598765e-04,1.2100000000e-01,2.0200000000e+01,refine,1
4.6415888336e-01,8.3217793921e-04,1.2000000000e-01,2.0200000000e+01,refine,2
4.8626015801e-01,8.7006207422e-04,1.2000000000e-01,2.0300000000e+01,refine,2
5.0941380148e-01,9.0967084962e-04,1.2100000000e-01,2.0300000000e+01,refine,1
5.3366992312e-01,9.5985674319e-04,1.2000000000e-01,2.0400000000e+01,refine,2
5.5908101825e-01,1.0033984594e-03,1.2000000000e-01,2.0400000000e+01,refine,2
5.8570208181e-01,1.0489153464e-03,1.2100000000e-01,2.0500000000e+01,refine,1
6.1359072734e-01,1.0964970034e-03,1.2100000000e-01,2.0500000000e+01,refine,1
6.4280731173e-01,1.1568114041e-03,1.2000000000e-01,2.0600000000e+01,refine,2
6.7341506578e-01,1.2091008902e-03,1.2000000000e-01,2.0600000000e+01,refine,2
7.0548023107e-01,1.2637539338e-03,1.2000000000e-01,2.0700000000e+01,refine,1
7.3907220335e-01,1.3208773711e-03,1.2100000000e-01,2.0700000000e+01,refine,1
7.7426368268e-01,1.3805828673e-03,1.2100000000e-01,2.0700000000e+01,refine,1
8.1113083079e-01,1.4429871351e-03,1.2100000000e-01,2.0800000000e+01,refine,1
8.4975343591e-01,1.5082121626e-03,1.2100000000e-01,2.0800000000e+01,refine,1
8.9021508545e-01,1.5763854522e-03,1.2100000000e-01,2.0900000000e+01,refine,1
9.3260334688e-01,1.6476402694e-03,1.2100000000e-01,2.0900000000e+01,refine,1
9.7700995730e-01,1.7380028329e-03,1.2000000000e-01,2.0900000000e+01,refine,2
1.0235310219e+00,1.8162826296e-03,1.2000000000e-01,2.0900000000e+01,refine,2
1.0722672220e+00,1.8980881551e-03,1.2000000000e-01,2.1000000000e+01,refine,1
1.1233240330e+00,1.9835782085e-03,1.2000000000e-01,2.1000000000e+01,refine,1
1.1768119524e+00,2.0729187413e-03,1.2000000000e-01,2.1100000000e+01,refine,1
1.2328467394e+00,2.1662831792e-03,1.2000000000e-01,2.1100000000e+01,refine,1
1.2915496650e+00,2.2638527595e-03,1.2000000000e-01,2.1100000000e+01,refine,1
1.3530477746e+00,2.3658168821e-03,1.2100000000e-01,2.1200000000e+01,refine,1
1.4174741629e+00,2.4723734775e-03,1.2100000000e-01,2.1200000000e+01,refine,1
1.4849682623e+00,2.5837293911e-03,1.2100000000e-01,2.1200000000e+01,refine,1
1.5556761439e+00,2.7001007845e-03,1.2100000000e-01,2.1200000000e+01,refine,1
1.6297508346e+00,2.8217135556e-03,1.2100000000e-01,2.1300000000e+01,refine,1
1.7073526475e+00,2.9760071933e-03,1.2000000000e-01,2.1300000000e+01,refine,2
1.7886495291e+00,3.1095668375e-03,1.2000000000e-01,2.1400000000e+01,refine,2
1.8738174229e+00,3.2491204789e-03,1.2000000000e-01,2.1400000000e+01,refine,1
1.9630406500e+00,3.3949371208e-03,1.2100000000e-01,2.1400000000e+01,refine,1
2.0565123083e+00,3.5472978393e-03,1.2100000000e-01,2.1500000000e+01,refine,1
2.1544346900e+00,3.7064963246e-03,1.2100000000e-01,2.1500000000e+01,refine,1
2.2570197196e+00,3.8728394475e-03,1.2100000000e-01,2.1500000000e+01,refine,1
2.3644894126e+00,4.0839791410e-03,1.2000000000e-01,2.1600000000e+01,refine,2
2.4770763560e+00,4.2666046725e-03,1.2000000000e-01,2.1600000000e+01,refine,2
2.5950242114e+00,4.4573967698e-03,1.2000000000e-01,2.1700000000e+01,refine,1
2.7185882427e+00,4.6567206218e-03,1.2000000000e-01,2.1700000000e+01,refine,1
2.8480358684e+00,4.7741876570e-03,1.2000000000e-01,2.1800000000e+01,refine,2
2.9836472403e+00,4.6636413355e-03,1.2100000000e-01,2.1800000000e+01,refine,2
3.1257158497e+00,4.7219601039e-03,1.2000000000e-01,2.1900000000e+01,refine,2
3.2745491629e+00,4.8251140862e-03,1.2000000000e-01,2.1900000000e+01,refine,2
3.4304692863e+00,4.9760067630e-03,1.2000000000e-01,2.1900000000e+01,refine,2
3.5938136638e+00,5.1316182089e-03,1.2100000000e-01,2.2000000000e+01,refine,1
3.7649358068e+00,5.3409168369e-03,1.2000000000e-01,2.2000000000e+01,refine,2
3.9442060594e+00,5.5587519369e-03,1.1900000000e-01,2.2100000000e+01,refine,1
