# relic_survival_map.py, alphaD=0.5, direct detection only (best2026)
# every row has Omega h^2 = 0.1204 by construction; dd_covered=0 means no experiment reaches that mchi
# the _cenuns columns fold in the PandaX-4T S2 CEvNS recast; the allowed set is alphaD independent
R,MAp,eps,eps_ddlimit,ratio,dd_covered,allowed,eps_ddlimit_cenuns,ratio_cenuns,dd_covered_cenuns,allowed_cenuns
5.0100000000e-01,1.0000000000e-02,9.5444704203e-07,3.7044959177e-06,2.5764559153e-01,1,1,3.7044959177e-06,2.5764559153e-01,1,1
5.0100000000e-01,1.0613393580e-02,1.0130012382e-06,3.8477360110e-06,2.6327202160e-01,1,1,3.8477360110e-06,2.6327202160e-01,1,1
5.0100000000e-01,1.1264412328e-02,1.0673903680e-06,4.0297346313e-06,2.6487857531e-01,1,1,4.0297346313e-06,2.6487857531e-01,1,1
5.0100000000e-01,1.1955364149e-02,1.1246997089e-06,4.2718166240e-06,2.6328370525e-01,1,1,4.2718166240e-06,2.6328370525e-01,1,1
5.0100000000e-01,1.2688698510e-02,1.1953150487e-06,4.5413735636e-06,2.6320562093e-01,1,1,4.5413735636e-06,2.6320562093e-01,1,1
5.0100000000e-01,1.3467015131e-02,1.2703640397e-06,4.8269067317e-06,2.6318387952e-01,1,1,4.8269067317e-06,2.6318387952e-01,1,1
5.0100000000e-01,1.4293073193e-02,1.3364754720e-06,5.1618387461e-06,2.5891461119e-01,1,1,5.1618387461e-06,2.5891461119e-01,1,1
5.0100000000e-01,1.5169801127e-02,1.4161852561e-06,5.5794952614e-06,2.5381960011e-01,1,1,5.5794952614e-06,2.5381960011e-01,1,1
5.0100000000e-01,1.6100306989e-02,1.5006490740e-06,6.0668038809e-06,2.4735414289e-01,1,1,6.0668038809e-06,2.4735414289e-01,1,1
5.0100000000e-01,1.7087889483e-02,1.5901504649e-06,6.6030940712e-06,2.4081899300e-01,1,1,6.6030940712e-06,2.4081899300e-01,1,1
5.0100000000e-01,1.8136049653e-02,1.6849898787e-06,7.2121256372e-06,2.3363290706e-01,1,1,7.2121256372e-06,2.3363290706e-01,1,1
5.0100000000e-01,1.9248503296e-02,1.7854856844e-06,7.9691904180e-06,2.2404856589e-01,1,1,7.9691904180e-06,2.2404856589e-01,1,1
5.0100000000e-01,2.0429194130e-02,1.8919752395e-06,8.8078307562e-06,2.1480603929e-01,1,1,8.8078307562e-06,2.1480603929e-01,1,1
5.0100000000e-01,2.1682307783e-02,2.0048160218e-06,9.7505900454e-06,2.0560971311e-01,1,1,9.7505900454e-06,2.0560971311e-01,1,1
5.0100000000e-01,2.3012286622e-02,2.1243868300e-06,1.0801772963e-05,1.9667019825e-01,1,1,1.0801772963e-05,1.9667019825e-01,1,1
5.0100000000e-01,2.4423845509e-02,2.2510890547e-06,1.1990801413e-05,1.8773466236e-01,1,1,1.1990801413e-05,1.8773466236e-01,1,1
5.0100000000e-01,2.5921988513e-02,2.3853480263e-06,1.3361019942e-05,1.7853038441e-01,1,1,1.3361019942e-05,1.7853038441e-01,1,1
5.0100000000e-01,2.7512026646e-02,2.5276144428e-06,1.4919308224e-05,1.6941901092e-01,1,1,1.4919308224e-05,1.6941901092e-01,1,1
5.0100000000e-01,2.9199596698e-02,2.6783658825e-06,1.6653646010e-05,1.6082759781e-01,1,1,1.6653646010e-05,1.6082759781e-01,1,1
5.0100000000e-01,3.0990681213e-02,2.8381084073e-06,1.8702986793e-05,1.5174626592e-01,1,1,1.8702986793e-05,1.5174626592e-01,1,1
5.0100000000e-01,3.2891629703e-02,3.0073782615e-06,2.1029018980e-05,1.4301086819e-01,1,1,2.1029018980e-05,1.4301086819e-01,1,1
5.0100000000e-01,3.4909181152e-02,3.1867436722e-06,2.3646777793e-05,1.3476439370e-01,1,1,2.3646777793e-05,1.3476439370e-01,1,1
5.0100000000e-01,3.7050487912e-02,3.3768067563e-06,2.6632100544e-05,1.2679460829e-01,1,1,2.6632100544e-05,1.2679460829e-01,1,1
5.0100000000e-01,3.9323141054e-02,3.5782055422e-06,3.0113943823e-05,1.1882221615e-01,1,1,3.0113943823e-05,1.1882221615e-01,1,1
5.0100000000e-01,4.1735197281e-02,3.7916161114e-06,3.4216775646e-05,1.1081161330e-01,1,1,3.4216775646e-05,1.1081161330e-01,1,1
5.0100000000e-01,4.4295207488e-02,4.0177548681e-06,3.8990503908e-05,1.0304444584e-01,1,1,3.1995712826e-05,1.2557166299e-01,1,1
5.0100000000e-01,4.7012247078e-02,4.2861480511e-06,4.4138628754e-05,9.7106506750e-02,1,1,2.7258776072e-05,1.5723919665e-01,1,1
5.0100000000e-01,4.9895948132e-02,4.5435496081e-06,4.9961902012e-05,9.0940285000e-02,1,1,2.4780572525e-05,1.8335127663e-01,1,1
5.0100000000e-01,5.2956533557e-02,4.8164092317e-06,5.1324382836e-05,9.3842516277e-02,1,1,2.2076663729e-05,2.1816744100e-01,1,1
5.0100000000e-01,5.6204853327e-02,5.1056552449e-06,5.1073885353e-05,9.9966063078e-02,1,1,2.0206441353e-05,2.5267463754e-01,1,1
5.0100000000e-01,5.9652422947e-02,5.4122717206e-06,5.1133259757e-05,1.0584640499e-01,1,1,1.9125702531e-05,2.8298420473e-01,1,1
5.0100000000e-01,6.3311464273e-02,5.7373018296e-06,5.3631026122e-05,1.0697728991e-01,1,1,1.8306455466e-05,3.1340320578e-01,1,1
5.0100000000e-01,6.7194948846e-02,6.1189268158e-06,5.5613099488e-05,1.1002671802e-01,1,1,1.7894062453e-05,3.4195291493e-01,1,1
5.0100000000e-01,7.1316643869e-02,6.4895483540e-06,5.7633648775e-05,1.1259999136e-01,1,1,1.7899508016e-05,3.6255456565e-01,1,1
5.0100000000e-01,7.5691161018e-02,6.8826183262e-06,5.9730133746e-05,1.1522857718e-01,1,1,1.8184889858e-05,3.7848006668e-01,1,1
5.0100000000e-01,8.0334008241e-02,7.2994964271e-06,6.2360888061e-05,1.1705247719e-01,1,1,1.8665000504e-05,3.9107935869e-01,1,1
5.0100000000e-01,8.5261644732e-02,7.7416247080e-06,1.7458286989e-05,4.4343552795e-01,1,1,1.7458286989e-05,4.4343552795e-01,1,1
5.0100000000e-01,9.0491539282e-02,8.2105325645e-06,1.6724522807e-05,4.9092776275e-01,1,1,1.6724522807e-05,4.9092776275e-01,1,1
5.0100000000e-01,9.6042232206e-02,8.7078420274e-06,1.6033934715e-05,5.4308828009e-01,1,1,1.6033934715e-05,5.4308828009e-01,1,1
5.0100000000e-01,1.0193340107e-01,9.2968299334e-06,1.6135769518e-05,5.7616278683e-01,1,1,1.6135769518e-05,5.7616278683e-01,1,1
5.0100000000e-01,1.0818593045e-01,9.8626653605e-06,1.6622150970e-05,5.9334471080e-01,1,1,1.6622150970e-05,5.9334471080e-01,1,1
5.0100000000e-01,1.1482198597e-01,1.0462939379e-05,1.6512552044e-05,6.3363551262e-01,1,1,1.6512552044e-05,6.3363551262e-01,1,1
5.0100000000e-01,1.2186509287e-01,1.1099748035e-05,1.6893299185e-05,6.5705034365e-01,1,1,1.6893299185e-05,6.5705034365e-01,1,1
5.0100000000e-01,1.2934021943e-01,1.1775314945e-05,1.7553115222e-05,6.7083903888e-01,1,1,1.7553115222e-05,6.7083903888e-01,1,1
5.0100000000e-01,1.3727386545e-01,1.2491999063e-05,1.8259263937e-05,6.8414581804e-01,1,1,1.8259263937e-05,6.8414581804e-01,1,1
5.0100000000e-01,1.4569415623e-01,1.3328663101e-05,1.9045787804e-05,6.9982209392e-01,1,1,1.9045787804e-05,6.9982209392e-01,1,1
5.0100000000e-01,1.5463094224e-01,1.4221363544e-05,2.0002125496e-05,7.1099261661e-01,1,1,2.0002125496e-05,7.1099261661e-01,1,1
5.0100000000e-01,1.6411590496e-01,1.5016262313e-05,2.1346872188e-05,7.0344086857e-01,1,1,2.1346872188e-05,7.0344086857e-01,1,1
5.0100000000e-01,1.7418266921e-01,1.5967075669e-05,2.2782522210e-05,7.0084758492e-01,1,1,2.2782522210e-05,7.0084758492e-01,1,1
5.0100000000e-01,1.8486692231e-01,1.6978093490e-05,2.4769712440e-05,6.8543765019e-01,1,1,2.4769712440e-05,6.8543765019e-01,1,1
5.0100000000e-01,1.9620654064e-01,1.8053127858e-05,2.7030927891e-05,6.6786933584e-01,1,1,2.7030927891e-05,6.6786933584e-01,1,1
5.0100000000e-01,2.0824172388e-01,1.8652678870e-05,2.9693242615e-05,6.2817924979e-01,1,1,2.9693242615e-05,6.2817924979e-01,1,1
5.0100000000e-01,2.2101513753e-01,1.6806758475e-05,3.2787435326e-05,5.1259753340e-01,1,1,3.2787435326e-05,5.1259753340e-01,1,1
5.0100000000e-01,2.3457206418e-01,1.6887465977e-05,3.6204646132e-05,4.6644471860e-01,1,1,3.6204646132e-05,4.6644471860e-01,1,1
5.0100000000e-01,2.4896056400e-01,1.7446271219e-05,4.0122634208e-05,4.3482367404e-01,1,1,4.0122634208e-05,4.3482367404e-01,1,1
5.0100000000e-01,2.6423164516e-01,1.8147126349e-05,4.4674728178e-05,4.0620563548e-01,1,1,4.4674728178e-05,4.0620563548e-01,1,1
5.0100000000e-01,2.8043944464e-01,1.9019363310e-05,4.9743953233e-05,3.8234523142e-01,1,1,4.9743953233e-05,3.8234523142e-01,1,1
5.0100000000e-01,2.9764142013e-01,1.9933524117e-05,5.5389090378e-05,3.5988177421e-01,1,1,5.5389090378e-05,3.5988177421e-01,1,1
5.0100000000e-01,3.1589855375e-01,2.0891623828e-05,6.0038436319e-05,3.4797081851e-01,1,1,6.0038436319e-05,3.4797081851e-01,1,1
5.0100000000e-01,3.3527556823e-01,2.1895774355e-05,5.9823410297e-05,3.6600678975e-01,1,1,5.9823410297e-05,3.6600678975e-01,1,1
5.0100000000e-01,3.5584115634e-01,2.2948189118e-05,5.9736318107e-05,3.8415807746e-01,1,1,5.9736318107e-05,3.8415807746e-01,1,1
5.0100000000e-01,3.7766822442e-01,2.4051187927e-05,5.9731130366e-05,4.0265750505e-01,1,1,5.9731130366e-05,4.0265750505e-01,1,1
5.0100000000e-01,4.0083415084e-01,2.5207202090e-05,5.9755512542e-05,4.2183894033e-01,1,1,5.9755512542e-05,4.2183894033e-01,1,1
5.0100000000e-01,4.2542106032e-01,2.6418779776e-05,5.9810679423e-05,4.4170673249e-01,1,1,5.9810679423e-05,4.4170673249e-01,1,1
5.0100000000e-01,4.5151611504e-01,2.7688591632e-05,5.9551398190e-05,4.6495283862e-01,1,1,5.9551398190e-05,4.6495283862e-01,1,1
5.0100000000e-01,4.7921182366e-01,2.8535897734e-05,5.9165193048e-05,4.8230887561e-01,1,1,5.9165193048e-05,4.8230887561e-01,1,1
5.0100000000e-01,5.0860636927e-01,2.9686844134e-05,5.8997663536e-05,5.0318677647e-01,1,1,5.8997663536e-05,5.0318677647e-01,1,1
5.0100000000e-01,5.3980395744e-01,3.0161745519e-05,5.8949709411e-05,5.1165214926e-01,1,1,5.8949709411e-05,5.1165214926e-01,1,1
5.0100000000e-01,5.7291518563e-01,3.0644243916e-05,5.9022190913e-05,5.1919868513e-01,1,1,5.9022190913e-05,5.1919868513e-01,1,1
5.0100000000e-01,6.0805743530e-01,2.9868217134e-05,5.9275904838e-05,5.0388462591e-01,1,1,5.9275904838e-05,5.0388462591e-01,1,1
5.0100000000e-01,6.4535528801e-01,2.8104311941e-05,5.9703708448e-05,4.7072975316e-01,1,1,5.9703708448e-05,4.7072975316e-01,1,1
5.0100000000e-01,6.8494096706e-01,2.5058947626e-05,6.0110653309e-05,4.1688030735e-01,1,1,6.0110653309e-05,4.1688030735e-01,1,1
5.0100000000e-01,7.2695480624e-01,2.1908136982e-05,6.0433626031e-05,3.6251567912e-01,1,1,6.0433626031e-05,3.6251567912e-01,1,1
5.0100000000e-01,7.7154574735e-01,1.8490364932e-05,6.0899877730e-05,3.0361908137e-01,1,1,6.0899877730e-05,3.0361908137e-01,1,1
5.0100000000e-01,8.1887186816e-01,3.0163566942e-05,6.1711645915e-05,4.8878240881e-01,1,1,6.1711645915e-05,4.8878240881e-01,1,1
5.0100000000e-01,8.6910094284e-01,3.9264954531e-05,6.2581159715e-05,6.2742452697e-01,1,1,6.2581159715e-05,6.2742452697e-01,1,1
5.0100000000e-01,9.2241103671e-01,4.6918359583e-05,6.2312829639e-05,7.5294862800e-01,1,1,6.2312829639e-05,7.5294862800e-01,1,1
5.0100000000e-01,9.7899113751e-01,4.6692007258e-05,6.1513233222e-05,7.5905630077e-01,1,1,6.1513233222e-05,7.5905630077e-01,1,1
5.0100000000e-01,1.0390418254e+00,5.2857875313e-05,6.3106213014e-05,8.3760176358e-01,1,1,6.3106213014e-05,8.3760176358e-01,1,1
5.0100000000e-01,1.1027759839e+00,5.9837971136e-05,6.2113551146e-05,9.6336419399e-01,1,1,6.2113551146e-05,9.6336419399e-01,1,1
5.0100000000e-01,1.1704195547e+00,6.2914003229e-05,3.8682597627e-05,1.6264161946e+00,1,0,3.8682597627e-05,1.6264161946e+00,1,0
5.0100000000e-01,1.2422123388e+00,6.5353038896e-05,3.7596207348e-05,1.7382880750e+00,1,0,3.7596207348e-05,1.7382880750e+00,1,0
5.0100000000e-01,1.3184088462e+00,6.6846250382e-05,3.6874039442e-05,1.8128268938e+00,1,0,3.6874039442e-05,1.8128268938e+00,1,0
5.0100000000e-01,1.3992791984e+00,6.6668422659e-05,3.6203021540e-05,1.8415154267e+00,1,0,3.6203021540e-05,1.8415154267e+00,1,0
5.0100000000e-01,1.4851100861e+00,6.7131622528e-05,3.6564724531e-05,1.8359668612e+00,1,0,3.6564724531e-05,1.8359668612e+00,1,0
5.0100000000e-01,1.5762057853e+00,6.8996608527e-05,3.6678394476e-05,1.8811240108e+00,1,0,3.6678394476e-05,1.8811240108e+00,1,0
5.0100000000e-01,1.6728892362e+00,7.2097802216e-05,3.6539416277e-05,1.9731514502e+00,1,0,3.6539416277e-05,1.9731514502e+00,1,0
5.0100000000e-01,1.7755031880e+00,7.9087910053e-05,3.6681571124e-05,2.1560665923e+00,1,0,3.6681571124e-05,2.1560665923e+00,1,0
5.0100000000e-01,1.8844114137e+00,8.4820521659e-05,3.6861309243e-05,2.3010718664e+00,1,0,3.6861309243e-05,2.3010718664e+00,1,0
