# relic_survival_map.py, alphaD=0.5, direct detection only (best2026)
# allowed MAp intervals per R, Omega h^2 = 0.1204; case=cenuns folds in the PandaX-4T S2 CEvNS recast
# interval counts from 0 within each (R, case); the set can be disjoint where the limit is strongest
R,case,interval,ma_lo,ma_hi,n_masses
5.0100000000e-01,nocenuns,0,1.0000000000e-02,1.1027759839e+00,80
5.0353846154e-01,nocenuns,0,1.0000000000e-02,1.1482198597e-01,42
5.0353846154e-01,nocenuns,1,2.0824172388e-01,8.1887186816e-01,24
5.0607692308e-01,nocenuns,0,1.0000000000e-02,9.0491539282e-02,38
5.0607692308e-01,nocenuns,1,2.2101513753e-01,4.7921182366e-01,14
5.0607692308e-01,nocenuns,2,6.0805743530e-01,7.7154574735e-01,5
5.0861538462e-01,nocenuns,0,1.0000000000e-02,8.0334008241e-02,36
5.0861538462e-01,nocenuns,1,2.6423164516e-01,3.7766822442e-01,7
5.0861538462e-01,nocenuns,2,6.8494096706e-01,7.7154574735e-01,3
5.1115384615e-01,nocenuns,0,1.0000000000e-02,7.5691161018e-02,35
5.1115384615e-01,nocenuns,1,2.9764142013e-01,3.1589855375e-01,2
5.1115384615e-01,nocenuns,2,7.2695480624e-01,7.2695480624e-01,1
5.1369230769e-01,nocenuns,0,1.0000000000e-02,7.5691161018e-02,35
5.1623076923e-01,nocenuns,0,1.0000000000e-02,7.5691161018e-02,35
5.1876923077e-01,nocenuns,0,1.0000000000e-02,7.5691161018e-02,35
5.2130769231e-01,nocenuns,0,1.0000000000e-02,7.5691161018e-02,35
5.2384615385e-01,nocenuns,0,1.6100306989e-02,7.5691161018e-02,27
5.2638461538e-01,nocenuns,0,1.8136049653e-02,7.5691161018e-02,25
5.2892307692e-01,nocenuns,0,2.0429194130e-02,7.5691161018e-02,23
5.3146153846e-01,nocenuns,0,2.1682307783e-02,7.5691161018e-02,22
5.3400000000e-01,nocenuns,0,2.3012286622e-02,7.1316643869e-02,20
5.3653846154e-01,nocenuns,0,2.4423845509e-02,7.1316643869e-02,19
5.3907692308e-01,nocenuns,0,2.5921988513e-02,7.1316643869e-02,18
5.4161538462e-01,nocenuns,0,2.7512026646e-02,7.1316643869e-02,17
