MAp,eps,omegah2,xf,method,ncalls
3.2457091338e-02,2.2415309183e-04,1.2000000000e-01,1.9600000000e+01,refine,3
3.2830218149e-02,1.9920857772e-04,1.2000000000e-01,1.9400000000e+01,refine,3
3.3207634426e-02,1.8366432969e-04,1.2100000000e-01,1.9200000000e+01,refine,1
3.3589389483e-02,1.7591084507e-04,1.2000000000e-01,1.9100000000e+01,refine,2
3.3975533196e-02,1.6848467782e-04,1.2100000000e-01,1.9000000000e+01,refine,2
3.4366116019e-02,1.6286070528e-04,1.2100000000e-01,1.8900000000e+01,refine,1
3.4761188983e-02,1.5887673753e-04,1.2100000000e-01,1.8900000000e+01,refine,2
3.5160803706e-02,1.5499022729e-04,1.2100000000e-01,1.8800000000e+01,refine,1
3.5565012402e-02,1.5328724547e-04,1.2000000000e-01,1.8800000000e+01,refine,1
3.5973867882e-02,1.5160297545e-04,1.1900000000e-01,1.8800000000e+01,refine,1
3.6387423565e-02,1.4993721164e-04,1.1900000000e-01,1.8800000000e+01,refine,1
3.6805733486e-02,1.4828975069e-04,1.1900000000e-01,1.8700000000e+01,refine,1
3.7228852299e-02,1.4666039151e-04,1.1900000000e-01,1.8700000000e+01,refine,1
3.7656835287e-02,1.4504893519e-04,1.1900000000e-01,1.8600000000e+01,refine,1
3.8089738369e-02,1.4345518503e-04,1.2000000000e-01,1.8600000000e+01,refine,2
3.8527618105e-02,1.4187894647e-04,1.2100000000e-01,1.8600000000e+01,refine,1
3.8970531708e-02,1.4161451276e-04,1.2000000000e-01,1.8600000000e+01,refine,1
3.9418537048e-02,1.4135057191e-04,1.2000000000e-01,1.8600000000e+01,refine,1
3.9871692657e-02,1.4108712299e-04,1.2000000000e-01,1.8500000000e+01,refine,1
4.0330057745e-02,1.4082416509e-04,1.2000000000e-01,1.8500000000e+01,refine,1
4.0793692200e-02,1.4056169729e-04,1.2000000000e-01,1.8500000000e+01,refine,2
4.1262656597e-02,1.4029971867e-04,1.2000000000e-01,1.8500000000e+01,refine,2
4.1737012210e-02,1.4133011433e-04,1.1900000000e-01,1.8500000000e+01,refine,1
4.2216821017e-02,1.4037962359e-04,1.2000000000e-01,1.8500000000e+01,refine,2
4.2702145707e-02,1.3943552520e-04,1.2100000000e-01,1.8400000000e+01,refine,1
4.3193049690e-02,1.4041079655e-04,1.2000000000e-01,1.8400000000e+01,refine,2
4.3689597108e-02,1.4139288937e-04,1.1900000000e-01,1.8400000000e+01,refine,1
4.4191852836e-02,1.4105857852e-04,1.2000000000e-01,1.8500000000e+01,refine,2
4.4699882497e-02,1.4072505811e-04,1.2100000000e-01,1.8400000000e+01,refine,1
4.5213752469e-02,1.4168747893e-04,1.2000000000e-01,1.8400000000e+01,refine,1
4.5733529891e-02,1.4265648176e-04,1.1900000000e-01,1.8400000000e+01,refine,2
4.6259282675e-02,1.4363211161e-04,1.1900000000e-01,1.8400000000e+01,refine,1
4.6791079516e-02,1.4327039191e-04,1.2000000000e-01,1.8400000000e+01,refine,2
4.7328989894e-02,1.4290958316e-04,1.2100000000e-01,1.8400000000e+01,refine,1
4.7873084091e-02,1.4386473783e-04,1.2100000000e-01,1.8400000000e+01,refine,1
4.8423433197e-02,1.4482627640e-04,1.2000000000e-01,1.8400000000e+01,refine,1
4.8980109118e-02,1.4579424153e-04,1.2000000000e-01,1.8400000000e+01,refine,2
4.9543184586e-02,1.4676867619e-04,1.2000000000e-01,1.8400000000e+01,refine,2
5.0112733172e-02,1.4637646360e-04,1.2100000000e-01,1.8400000000e+01,refine,1
5.0688829289e-02,1.4800174198e-04,1.2000000000e-01,1.8400000000e+01,refine,2
5.1271548210e-02,1.4964506650e-04,1.1900000000e-01,1.8400000000e+01,refine,1
5.1860966068e-02,1.4990041923e-04,1.2000000000e-01,1.8400000000e+01,refine,2
5.2457159876e-02,1.5015620769e-04,1.2100000000e-01,1.8400000000e+01,refine,1
5.3060207530e-02,1.5180002314e-04,1.2000000000e-01,1.8400000000e+01,refine,2
5.3670187821e-02,1.5346183404e-04,1.1900000000e-01,1.8400000000e+01,refine,1
5.4287180447e-02,1.5369997541e-04,1.2000000000e-01,1.8400000000e+01,refine,2
5.4911266022e-02,1.5393848633e-04,1.2100000000e-01,1.8400000000e+01,refine,1
5.5542526086e-02,1.5559969029e-04,1.2000000000e-01,1.8400000000e+01,refine,1
5.6181043118e-02,1.5727882088e-04,1.2000000000e-01,1.8400000000e+01,refine,2
5.6826900544e-02,1.5897607156e-04,1.1900000000e-01,1.8400000000e+01,refine,1
5.7480182748e-02,1.5919819696e-04,1.2000000000e-01,1.8400000000e+01,refine,2
5.8140975086e-02,1.5942063273e-04,1.2100000000e-01,1.8400000000e+01,refine,1
5.8809363895e-02,1.6111612747e-04,1.2100000000e-01,1.8400000000e+01,refine,1
5.9485436503e-02,1.6282965440e-04,1.2000000000e-01,1.8400000000e+01,refine,2
6.0169281244e-02,1.6456140530e-04,1.2000000000e-01,1.8400000000e+01,refine,2
6.0860987466e-02,1.6476590234e-04,1.2100000000e-01,1.8400000000e+01,refine,1
6.1560645544e-02,1.6649254707e-04,1.2100000000e-01,1.8400000000e+01,refine,1
6.2268346894e-02,1.6823728596e-04,1.2000000000e-01,1.8500000000e+01,refine,2
6.2984183980e-02,1.7000030865e-04,1.2000000000e-01,1.8400000000e+01,refine,2
6.3708250332e-02,1.7018529566e-04,1.2100000000e-01,1.8500000000e+01,refine,1
6.4440640552e-02,1.7194219226e-04,1.2100000000e-01,1.8400000000e+01,refine,1
6.5181450332e-02,1.7371722606e-04,1.2000000000e-01,1.8400000000e+01,refine,1
6.5930776463e-02,1.7551058430e-04,1.2000000000e-01,1.8500000000e+01,refine,2
6.6688716850e-02,1.7732245616e-04,1.2000000000e-01,1.8500000000e+01,refine,2
6.7455370522e-02,1.7748801478e-04,1.2100000000e-01,1.8500000000e+01,refine,1
6.8230837646e-02,1.7929262592e-04,1.2100000000e-01,1.8500000000e+01,refine,1
6.9015219542e-02,1.8111558545e-04,1.2100000000e-01,1.8500000000e+01,refine,1
6.9808618695e-02,1.8295707995e-04,1.2100000000e-01,1.8500000000e+01,refine,1
7.0611138766e-02,1.8481729786e-04,1.2000000000e-01,1.8500000000e+01,refine,1
7.1422884611e-02,1.8669642956e-04,1.2000000000e-01,1.8500000000e+01,refine,1
7.2243962288e-02,1.8859466734e-04,1.2000000000e-01,1.8500000000e+01,refine,1
7.3074479076e-02,1.9051220548e-04,1.2000000000e-01,1.8500000000e+01,refine,1
7.3914543488e-02,1.9244924020e-04,1.2000000000e-01,1.8500000000e+01,refine,1
7.4764265282e-02,1.9440596975e-04,1.2000000000e-01,1.8500000000e+01,refine,1
7.5623755480e-02,1.9638259436e-04,1.1900000000e-01,1.8500000000e+01,refine,1
7.6493126380e-02,1.9837931632e-04,1.1900000000e-01,1.8600000000e+01,refine,1
7.7372491570e-02,2.0039633997e-04,1.1900000000e-01,1.8600000000e+01,refine,1
7.8261965945e-02,2.0243387173e-04,1.1900000000e-01,1.8600000000e+01,refine,1
