MAp,eps,omegah2,xf
5.000000000000e-02,1.000000000000e-06,4.570000000000e+01,1.330000000000e+01
5.000000000000e-02,1.000000000000e-01,nan,nan
1.000000000000e+02,1.000000000000e-06,2.060000000000e+04,1.280000000000e+01
1.000000000000e+02,1.000000000000e-01,1.300000000000e-02,2.590000000000e+01
1.000000000000e+02,1.665607950416e-02,3.620000000000e-01,2.250000000000e+01
1.000000000000e+02,3.019520832137e-02,1.200000000000e-01,2.360000000000e+01
8.563120213307e+01,3.019520832137e-02,8.990000000000e-02,2.380000000000e+01
8.563120213307e+01,2.571931448993e-02,1.210000000000e-01,2.350000000000e+01
7.332702778755e+01,2.190689101369e-02,1.220000000000e-01,2.330000000000e+01
7.332702778755e+01,2.210898729999e-02,1.200000000000e-01,2.340000000000e+01
6.279081538293e+01,1.900545675984e-02,1.180000000000e-01,2.320000000000e+01
6.279081538293e+01,1.882882325963e-02,1.200000000000e-01,2.320000000000e+01
5.376853004156e+01,1.603531543675e-02,1.220000000000e-01,2.310000000000e+01
5.376853004156e+01,1.618324504015e-02,1.190000000000e-01,2.310000000000e+01
4.604263864387e+01,1.390938862287e-02,1.190000000000e-01,2.300000000000e+01
3.942686496453e+01,1.195502455669e-02,1.180000000000e-01,2.280000000000e+01
3.942686496453e+01,1.184391658074e-02,1.200000000000e-01,2.280000000000e+01
3.376169843251e+01,1.008515642024e-02,1.210000000000e-01,2.270000000000e+01
2.891054822830e+01,8.587563018313e-03,1.230000000000e-01,2.260000000000e+01
2.891054822830e+01,8.706179962491e-03,1.200000000000e-01,2.260000000000e+01
2.475644999115e+01,7.515755470798e-03,1.180000000000e-01,2.250000000000e+01
2.475644999115e+01,7.445905310797e-03,1.200000000000e-01,2.240000000000e+01
2.119924573290e+01,6.368063391316e-03,1.210000000000e-01,2.230000000000e+01
1.815316896422e+01,5.446245911430e-03,1.220000000000e-01,2.220000000000e+01
1.815316896422e+01,5.496488826880e-03,1.200000000000e-01,2.220000000000e+01
1.554477680931e+01,4.744203624797e-03,1.200000000000e-01,2.210000000000e+01
1.331117925072e+01,4.094881067249e-03,1.200000000000e-01,2.200000000000e+01
1.139852281048e+01,3.534429017184e-03,1.210000000000e-01,2.200000000000e+01
9.760692108023e+00,3.050684079063e-03,1.230000000000e-01,2.190000000000e+01
9.760692108023e+00,3.092822089851e-03,1.200000000000e-01,2.190000000000e+01
8.358197988608e+00,2.706391451905e-03,1.210000000000e-01,2.190000000000e+01
7.157225414307e+00,2.368243137871e-03,1.270000000000e-01,2.190000000000e+01
7.157225414307e+00,2.444023853705e-03,1.200000000000e-01,2.200000000000e+01
6.128818161645e+00,2.207091140964e-03,1.200000000000e-01,2.220000000000e+01
5.248180668366e+00,1.993127561802e-03,1.260000000000e-01,2.230000000000e+01
5.248180668366e+00,2.047891425463e-03,1.200000000000e-01,2.240000000000e+01
4.494080196437e+00,1.900174946402e-03,1.160000000000e-01,2.230000000000e+01
4.494080196437e+00,1.864721595895e-03,1.200000000000e-01,2.230000000000e+01
3.848334897034e+00,1.697935050150e-03,1.140000000000e-01,2.210000000000e+01
3.848334897034e+00,1.650233118221e-03,1.200000000000e-01,2.200000000000e+01
3.295375434436e+00,1.460416048416e-03,1.200000000000e-01,2.190000000000e+01
2.821869599306e+00,1.292432572660e-03,1.280000000000e-01,2.170000000000e+01
2.821869599306e+00,1.339613168215e-03,1.200000000000e-01,2.180000000000e+01
2.416400860513e+00,1.228802876003e-03,1.120000000000e-01,2.170000000000e+01
2.416400860513e+00,1.182594851507e-03,1.200000000000e-01,2.160000000000e+01
2.069193105211e+00,1.043980916277e-03,1.320000000000e-01,2.140000000000e+01
2.069193105211e+00,1.100749498172e-03,1.200000000000e-01,2.150000000000e+01
1.771874930447e+00,1.024568520809e-03,1.090000000000e-01,2.150000000000e+01
1.771874930447e+00,9.712788369314e-04,1.210000000000e-01,2.140000000000e+01
1.517277803236e+00,8.570365742958e-04,1.150000000000e-01,2.130000000000e+01
1.517277803236e+00,8.370102902163e-04,1.200000000000e-01,2.120000000000e+01
1.299263222609e+00,7.213028836718e-04,1.200000000000e-01,2.110000000000e+01
1.112574716393e+00,6.215907451493e-04,1.200000000000e-01,2.100000000000e+01
9.527111042762e-01,5.356627059197e-04,1.200000000000e-01,2.090000000000e+01
8.158179714469e-01,4.616132668517e-04,1.200000000000e-01,2.080000000000e+01
6.985947361676e-01,3.978003429746e-04,1.190000000000e-01,2.070000000000e+01
5.982150706187e-01,3.428088493858e-04,1.180000000000e-01,2.050000000000e+01
