MAp,eps,omegah2,xf
3.500000000000e-02,1.000000000000e-06,3.970000000000e+01,1.320000000000e+01
3.500000000000e-02,5.000000000000e-03,nan,nan
3.000000000000e+00,1.000000000000e-06,1.770000000000e+03,1.310000000000e+01
3.000000000000e+00,5.000000000000e-03,4.900000000000e-02,2.270000000000e+01
3.000000000000e+00,2.410160948177e-03,1.860000000000e-01,2.140000000000e+01
3.000000000000e+00,3.057299813494e-03,1.210000000000e-01,2.180000000000e+01
2.955671703348e+00,3.057299813494e-03,1.190000000000e-01,2.180000000000e+01
2.955671703348e+00,3.037206032342e-03,1.210000000000e-01,2.180000000000e+01
2.911998405992e+00,3.017244315451e-03,1.220000000000e-01,2.180000000000e+01
2.911998405992e+00,3.039162006346e-03,1.200000000000e-01,2.180000000000e+01
2.868970429595e+00,3.041119240007e-03,1.190000000000e-01,2.180000000000e+01
2.868970429595e+00,3.021131803970e-03,1.200000000000e-01,2.180000000000e+01
2.826578238832e+00,3.003208567988e-03,1.200000000000e-01,2.180000000000e+01
2.784812439273e+00,2.985391663807e-03,1.190000000000e-01,2.180000000000e+01
2.784812439273e+00,2.965770491398e-03,1.200000000000e-01,2.170000000000e+01
2.743663775297e+00,2.928799118851e-03,1.210000000000e-01,2.170000000000e+01
2.703123128049e+00,2.892288632401e-03,1.210000000000e-01,2.170000000000e+01
2.663181513414e+00,2.856233286631e-03,1.210000000000e-01,2.170000000000e+01
2.623830080026e+00,2.820627407745e-03,1.210000000000e-01,2.170000000000e+01
2.585060107309e+00,2.785465392676e-03,1.210000000000e-01,2.170000000000e+01
2.546863003543e+00,2.750741708207e-03,1.210000000000e-01,2.160000000000e+01
2.509230303959e+00,2.716450890098e-03,1.210000000000e-01,2.160000000000e+01
2.472153668865e+00,2.682587542224e-03,1.210000000000e-01,2.160000000000e+01
2.435624881798e+00,2.649146335731e-03,1.210000000000e-01,2.160000000000e+01
2.399635847700e+00,2.616122008193e-03,1.210000000000e-01,2.160000000000e+01
2.364178591130e+00,2.583509362786e-03,1.220000000000e-01,2.160000000000e+01
2.364178591130e+00,2.602276341433e-03,1.200000000000e-01,2.160000000000e+01
2.329245254488e+00,2.588503952022e-03,1.190000000000e-01,2.160000000000e+01
2.329245254488e+00,2.571491282315e-03,1.200000000000e-01,2.160000000000e+01
2.294828096283e+00,2.541070411984e-03,1.210000000000e-01,2.160000000000e+01
2.260919489411e+00,2.511009422070e-03,1.210000000000e-01,2.150000000000e+01
2.227511919467e+00,2.481304055168e-03,1.220000000000e-01,2.150000000000e+01
2.227511919467e+00,2.499328599955e-03,1.200000000000e-01,2.150000000000e+01
2.194597983080e+00,2.487702115193e-03,1.190000000000e-01,2.150000000000e+01
2.194597983080e+00,2.471351954946e-03,1.210000000000e-01,2.150000000000e+01
2.162170386272e+00,2.443688471106e-03,1.220000000000e-01,2.150000000000e+01
2.162170386272e+00,2.461439770953e-03,1.200000000000e-01,2.150000000000e+01
2.130221942840e+00,2.451567343090e-03,1.200000000000e-01,2.150000000000e+01
2.098745572768e+00,2.441734511903e-03,1.210000000000e-01,2.150000000000e+01
2.067734300653e+00,2.431941118576e-03,1.230000000000e-01,2.150000000000e+01
2.067734300653e+00,2.460741704488e-03,1.200000000000e-01,2.150000000000e+01
2.037181254161e+00,2.479896854750e-03,1.180000000000e-01,2.150000000000e+01
2.037181254161e+00,2.452075037357e-03,1.200000000000e-01,2.150000000000e+01
2.007079662505e+00,2.443438894000e-03,1.200000000000e-01,2.150000000000e+01
1.977422854944e+00,2.434833166910e-03,1.180000000000e-01,2.150000000000e+01
1.977422854944e+00,2.407516916388e-03,1.200000000000e-01,2.150000000000e+01
1.948204259304e+00,2.372123042213e-03,1.210000000000e-01,2.140000000000e+01
1.919417400523e+00,2.337249507613e-03,1.210000000000e-01,2.140000000000e+01
1.891055899213e+00,2.302888662867e-03,1.220000000000e-01,2.140000000000e+01
1.891055899213e+00,2.319617172925e-03,1.200000000000e-01,2.140000000000e+01
1.863113470252e+00,2.302117857508e-03,1.180000000000e-01,2.140000000000e+01
1.863113470252e+00,2.276290532260e-03,1.210000000000e-01,2.140000000000e+01
1.835583921384e+00,2.233773162114e-03,1.220000000000e-01,2.130000000000e+01
1.835583921384e+00,2.249999607366e-03,1.200000000000e-01,2.140000000000e+01
1.808461151852e+00,2.224012339989e-03,1.200000000000e-01,2.140000000000e+01
1.781739151044e+00,2.198325222916e-03,1.190000000000e-01,2.130000000000e+01
1.781739151044e+00,2.183876961828e-03,1.210000000000e-01,2.140000000000e+01
1.755411997163e+00,2.144465882068e-03,1.210000000000e-01,2.140000000000e+01
1.729473855911e+00,2.105766029741e-03,1.220000000000e-01,2.130000000000e+01
1.729473855911e+00,2.121062613018e-03,1.210000000000e-01,2.130000000000e+01
1.703918979199e+00,2.097914751623e-03,1.200000000000e-01,2.130000000000e+01
1.678741703872e+00,2.075019510534e-03,1.190000000000e-01,2.130000000000e+01
1.678741703872e+00,2.061381663259e-03,1.210000000000e-01,2.130000000000e+01
1.653936450456e+00,2.025484762112e-03,1.210000000000e-01,2.130000000000e+01
1.629497721916e+00,1.990212969616e-03,1.220000000000e-01,2.130000000000e+01
1.629497721916e+00,2.004670159065e-03,1.200000000000e-01,2.130000000000e+01
1.605420102446e+00,1.984069454295e-03,1.190000000000e-01,2.130000000000e+01
1.605420102446e+00,1.971029366690e-03,1.210000000000e-01,2.130000000000e+01
1.581698256262e+00,1.937953107540e-03,1.210000000000e-01,2.120000000000e+01
1.558326926423e+00,1.905431908065e-03,1.220000000000e-01,2.120000000000e+01
1.558326926423e+00,1.919273235852e-03,1.200000000000e-01,2.120000000000e+01
1.535300933665e+00,1.900773418885e-03,1.190000000000e-01,2.120000000000e+01
1.535300933665e+00,1.888280785703e-03,1.210000000000e-01,2.120000000000e+01
1.512615175253e+00,1.857788802057e-03,1.210000000000e-01,2.120000000000e+01
1.490264623850e+00,1.827789203376e-03,1.220000000000e-01,2.120000000000e+01
1.490264623850e+00,1.841066523537e-03,1.200000000000e-01,2.120000000000e+01
1.468244326405e+00,1.824494765140e-03,1.190000000000e-01,2.120000000000e+01
1.468244326405e+00,1.812503465379e-03,1.200000000000e-01,2.120000000000e+01
1.446549403052e+00,1.784383546174e-03,1.210000000000e-01,2.120000000000e+01
1.425175046032e+00,1.756699890882e-03,1.210000000000e-01,2.120000000000e+01
1.404116518625e+00,1.729445731128e-03,1.210000000000e-01,2.120000000000e+01
1.383369154102e+00,1.702614403543e-03,1.210000000000e-01,2.120000000000e+01
1.362928354688e+00,1.676199348134e-03,1.220000000000e-01,2.120000000000e+01
1.362928354688e+00,1.688375498075e-03,1.200000000000e-01,2.120000000000e+01
1.342789590547e+00,1.674255672081e-03,1.190000000000e-01,2.120000000000e+01
1.342789590547e+00,1.663251802942e-03,1.200000000000e-01,2.120000000000e+01
1.322948398777e+00,1.638501958329e-03,1.200000000000e-01,2.110000000000e+01
1.303400382419e+00,1.614120401192e-03,1.210000000000e-01,2.110000000000e+01
