MAp,eps,omegah2,xf,method,ncalls
5.0000000000e-02,6.5705837370e-05,1.2000000000e-01,1.8400000000e+01,refine,2
5.8389931187e-02,7.2059928319e-05,1.2000000000e-01,1.8400000000e+01,refine,2
6.8187681280e-02,8.0481312852e-05,1.2000000000e-01,1.8500000000e+01,refine,2
7.9629480355e-02,9.1539309828e-05,1.2000000000e-01,1.8600000000e+01,refine,1
9.2991197567e-02,1.0507715794e-04,1.2000000000e-01,1.8700000000e+01,refine,2
1.0859499254e-01,1.2061713313e-04,1.2100000000e-01,1.8800000000e+01,refine,1
1.2681708283e-01,1.4036776627e-04,1.2000000000e-01,1.8900000000e+01,refine,2
1.4809681480e-01,1.6335249641e-04,1.2000000000e-01,1.9100000000e+01,refine,2
1.7294725650e-01,1.6162146224e-04,1.2000000000e-01,1.9300000000e+01,refine,2
2.0196756812e-01,1.5842260663e-04,1.2000000000e-01,1.9400000000e+01,refine,2
2.3585744809e-01,1.3749902050e-04,1.2000000000e-01,1.9600000000e+01,refine,2
2.7543400328e-01,1.5404782986e-04,1.2100000000e-01,1.9700000000e+01,refine,1
3.2165144996e-01,1.8043627220e-04,1.2100000000e-01,1.9800000000e+01,refine,1
3.7562412059e-01,2.1134506313e-04,1.2000000000e-01,2.0000000000e+01,refine,1
4.3865333106e-01,2.4754853979e-04,1.2100000000e-01,2.0200000000e+01,refine,1
5.1225875631e-01,2.8995368354e-04,1.2000000000e-01,2.0300000000e+01,refine,1
5.9821507062e-01,3.3962284193e-04,1.2000000000e-01,2.0500000000e+01,refine,2
6.9859473617e-01,3.9780034297e-04,1.1900000000e-01,2.0700000000e+01,refine,1
8.1581797145e-01,4.6161326685e-04,1.2000000000e-01,2.0800000000e+01,refine,1
9.5271110428e-01,5.3566270592e-04,1.2000000000e-01,2.0900000000e+01,refine,1
1.1125747164e+00,6.2159074515e-04,1.2000000000e-01,2.1000000000e+01,refine,1
1.2992632226e+00,7.2130288367e-04,1.2000000000e-01,2.1100000000e+01,refine,1
1.5172778032e+00,8.3701029022e-04,1.2000000000e-01,2.1200000000e+01,refine,2
1.7718749304e+00,9.7127883693e-04,1.2100000000e-01,2.1400000000e+01,refine,2
2.0691931052e+00,1.1007494982e-03,1.2000000000e-01,2.1500000000e+01,refine,2
2.4164008605e+00,1.1825948515e-03,1.2000000000e-01,2.1600000000e+01,refine,2
2.8218695993e+00,1.3396131682e-03,1.2000000000e-01,2.1800000000e+01,refine,2
3.2953754344e+00,1.4604160484e-03,1.2000000000e-01,2.1900000000e+01,refine,1
3.8483348970e+00,1.6502331182e-03,1.2000000000e-01,2.2000000000e+01,refine,2
4.4940801964e+00,1.8647215959e-03,1.2000000000e-01,2.2300000000e+01,refine,2
5.2481806684e+00,2.0478914255e-03,1.2000000000e-01,2.2400000000e+01,refine,2
6.1288181616e+00,2.2070911410e-03,1.2000000000e-01,2.2200000000e+01,refine,1
7.1572254143e+00,2.4440238537e-03,1.2000000000e-01,2.2000000000e+01,refine,2
8.3581979886e+00,2.7063914519e-03,1.2100000000e-01,2.1900000000e+01,refine,1
9.7606921080e+00,3.0928220899e-03,1.2000000000e-01,2.1900000000e+01,refine,2
1.1398522810e+01,3.5344290172e-03,1.2100000000e-01,2.2000000000e+01,refine,1
1.3311179251e+01,4.0948810672e-03,1.2000000000e-01,2.2000000000e+01,refine,1
1.5544776809e+01,4.7442036248e-03,1.2000000000e-01,2.2100000000e+01,refine,1
1.8153168964e+01,5.4964888269e-03,1.2000000000e-01,2.2200000000e+01,refine,2
2.1199245733e+01,6.3680633913e-03,1.2100000000e-01,2.2300000000e+01,refine,1
2.4756449991e+01,7.4459053108e-03,1.2000000000e-01,2.2400000000e+01,refine,2
2.8910548228e+01,8.7061799625e-03,1.2000000000e-01,2.2600000000e+01,refine,2
3.3761698433e+01,1.0085156420e-02,1.2100000000e-01,2.2700000000e+01,refine,1
3.9426864965e+01,1.1843916581e-02,1.2000000000e-01,2.2800000000e+01,refine,2
4.6042638644e+01,1.3909388623e-02,1.1900000000e-01,2.3000000000e+01,refine,1
5.3768530042e+01,1.6183245040e-02,1.1900000000e-01,2.3100000000e+01,refine,2
6.2790815383e+01,1.8828823260e-02,1.2000000000e-01,2.3200000000e+01,refine,2
7.3327027788e+01,2.2108987300e-02,1.2000000000e-01,2.3400000000e+01,refine,2
8.5631202133e+01,2.5719314490e-02,1.2100000000e-01,2.3500000000e+01,refine,2
1.0000000000e+02,3.0195208321e-02,1.2000000000e-01,2.3600000000e+01,seed,7
